generation,age_in_income_year,n_unweighted,n_weighted,median_real,mean_real,p25_real,p75_real,birth_year_min,birth_year_max,birth_years_observed,income_year_min,income_year_max,generation_birth_years,coverage_share,fully_covered,meets_min_records
Boomer (1946-1964),28,39361,59132216.16999906,39590.80983803239,42938.96668622421,21572.983779583647,58989.05495306661,1946,1964,19,1974,1992,19,1,TRUE,TRUE
Boomer (1946-1964),29,40213,61390467.289999075,40331.065562592354,44297.214779264206,21669.009475571238,60851.58067243052,1946,1964,19,1975,1993,19,1,TRUE,TRUE
Boomer (1946-1964),30,39204,60175252.30999934,41004.6,45505.043190670556,22294.429109159348,62458.99936207053,1946,1964,19,1976,1994,19,1,TRUE,TRUE
Boomer (1946-1964),31,38830,60515519.95999971,41776.322614107885,46897.483512743514,22600.26872146858,63689.90760693095,1946,1964,19,1977,1995,19,1,TRUE,TRUE
Boomer (1946-1964),32,37942,60092338.17999962,42125.44173060778,47941.616755403535,22848.755848554218,65007.02842671371,1946,1964,19,1978,1996,19,1,TRUE,TRUE
Boomer (1946-1964),33,37866,61079248.75999963,43266.2020378016,49588.88098537793,23214.122897986716,66943.42721943428,1946,1964,19,1979,1997,19,1,TRUE,TRUE
Boomer (1946-1964),34,37608,62485432.35000009,44603.40889123177,51860.86131538175,23938.512318755158,69584.01426527204,1946,1964,19,1980,1998,19,1,TRUE,TRUE
Boomer (1946-1964),35,36205,61619111.81999963,46023.10921373354,54306.07497075064,24678.351689559862,71861.04765809563,1946,1964,19,1981,1999,19,1,TRUE,TRUE
Boomer (1946-1964),36,36510,61081125.60999997,46989.79759347548,55646.91491821249,25474.543818897593,73006.96906797106,1946,1964,19,1982,2000,19,1,TRUE,TRUE
Boomer (1946-1964),37,37506,61755540.6399997,47816.73372816734,57624.96706963535,26201.82084683829,74339.01481871962,1946,1964,19,1983,2001,19,1,TRUE,TRUE
Boomer (1946-1964),38,38285,61845312.2999991,48815,59561.31401239515,26617.87104638817,76506.77396506774,1946,1964,19,1984,2002,19,1,TRUE,TRUE
Boomer (1946-1964),39,40083,63462319.680000044,50031.141595711124,61617.128155456725,27536.980284269117,78210.28577297353,1946,1964,19,1985,2003,19,1,TRUE,TRUE
Boomer (1946-1964),40,39456,61878025.780000284,50510.80956171206,63253.54197164424,28203.83050235413,79793.99591344893,1946,1964,19,1986,2004,19,1,TRUE,TRUE
Boomer (1946-1964),41,39812,61937873.87000024,51577.71396060794,63834.324269067925,28652.930865050064,81063.24581304278,1946,1964,19,1987,2005,19,1,TRUE,TRUE
Boomer (1946-1964),42,40265,62002245.680000156,52450.51214688431,66342.11046352619,29565.372059899317,82530.45388205713,1946,1964,19,1988,2006,19,1,TRUE,TRUE
Boomer (1946-1964),43,40419,61910640.72999974,53652.683641692616,67575.69422121547,30338.397386523597,83180.84701996304,1946,1964,19,1989,2007,19,1,TRUE,TRUE
Boomer (1946-1964),44,41044,62154429.42999968,54033.632923368015,68558.11547515153,30675.490690818304,84611.49150706238,1946,1964,19,1990,2008,19,1,TRUE,TRUE
Boomer (1946-1964),45,40505,61127923.889999814,54079.423920916954,70168.88850483514,30958.238118468686,85639.38777116766,1946,1964,19,1991,2009,19,1,TRUE,TRUE
Boomer (1946-1964),46,39828,60230876.430000104,54619.28213406317,70258.18898488478,31180.237285401956,85674.83420180008,1946,1964,19,1992,2010,19,1,TRUE,TRUE
Boomer (1946-1964),47,39333,59858570.91999974,55634.3711568668,72970.66594715028,31844.953803465476,88894.17482005086,1946,1964,19,1993,2011,19,1,TRUE,TRUE
Boomer (1946-1964),48,38757,59566117.31000042,56088.11896502199,73551.0232585671,32438.568195596818,88894.17482005086,1946,1964,19,1994,2012,19,1,TRUE,TRUE
Boomer (1946-1964),49,37489,60544095.04000021,56088.11896502199,74134.31284607222,32447.654352550173,89615.95244819882,1946,1964,19,1995,2013,19,1,TRUE,TRUE
Boomer (1946-1964),50,36024,58055228.890000224,56407.66100470826,75775.51334474345,33127.394786022276,90858.45255002483,1946,1964,19,1996,2014,19,1,TRUE,TRUE
Boomer (1946-1964),51,34347,55881366.06999968,57092.92518077844,75332.90974403483,33272.338807985216,91245.33340180245,1946,1964,19,1997,2015,19,1,TRUE,TRUE
Boomer (1946-1964),52,33433,55485723.16999969,57490.98531134072,77254.99761177863,33775.30240424007,92215.69143272327,1946,1964,19,1998,2016,19,1,TRUE,TRUE
Boomer (1946-1964),53,32608,55001418.98999968,57242.179045006684,76980.80518276239,33564.37895360399,92977.1682064222,1946,1964,19,1999,2017,19,1,TRUE,TRUE
Boomer (1946-1964),54,31680,54492893.969999775,57305.86173010013,78082.68707834887,33272.338807985216,93980.26107009118,1946,1964,19,2000,2018,19,1,TRUE,TRUE
Boomer (1946-1964),55,29737,52804353.92999985,57798.9126,77715.468782085,33127.394786022276,92871.29248153737,1946,1964,19,2001,2019,19,1,TRUE,TRUE
Boomer (1946-1964),56,27998,51553925.31749982,58226.59291397412,78227.27854793183,33272.338807985216,94090.54684362806,1946,1964,19,2002,2020,19,1,TRUE,TRUE
Boomer (1946-1964),57,26408,49732346.26840031,57892.88962677502,78000.25076463612,33542.093543707335,93980.26107009118,1946,1964,19,2003,2021,19,1,TRUE,TRUE
Boomer (1946-1964),58,24550,48029968.64590016,57092.92518077844,78185.94002972083,32670.32876514863,92776.00341876497,1946,1964,19,2004,2022,19,1,TRUE,TRUE
Boomer (1946-1964),59,23307,46773127.81390015,56845.71920757968,78122.04192299249,32648.38064575018,93279.81224337805,1946,1964,19,2005,2023,19,1,TRUE,TRUE
Boomer (1946-1964),60,21437,44023703.3747002,56845.71920757968,78209.6732669741,32283.738960563263,93980.26107009118,1946,1964,19,2006,2024,19,1,TRUE,TRUE
Boomer (1946-1964),61,18529,38606609.27240022,55967.88734602683,77465.71454529853,30789.141720440544,92756.70540086238,1946,1963,18,2007,2024,19,0.9473684210526315,FALSE,TRUE
Boomer (1946-1964),62,15705,33192237.42489967,54659.34539190354,76568.98777618835,28736.532272411172,92367.42516132163,1946,1962,17,2008,2024,19,0.8947368421052632,FALSE,TRUE
Boomer (1946-1964),63,13092,28144838.442199916,53703.006325766386,77255.14326540017,27329.67269595177,92036.26982651178,1946,1961,16,2009,2024,19,0.8421052631578947,FALSE,TRUE
Boomer (1946-1964),64,10770,22775949.70589996,52244.141430574906,74449.17581333531,24222.992092008197,89641.3264427218,1946,1960,15,2010,2024,19,0.7894736842105263,FALSE,TRUE
Boomer (1946-1964),65,8426,18152070.214499995,48445.98418401639,69962.83719171614,22116.644953572704,87061.15809381951,1946,1959,14,2011,2024,19,0.7368421052631579,FALSE,TRUE
Boomer (1946-1964),66,6784,15020611.427400019,46064.059540886876,71233.72808184719,19830.995743339765,84787.45927501823,1946,1958,13,2012,2024,19,0.6842105263157895,FALSE,TRUE
Boomer (1946-1964),67,5258,11793839.597100038,43822.20900830979,69317.4376721185,18469.25187387931,84165.24209905868,1946,1957,12,2013,2024,19,0.631578947368421,FALSE,TRUE
Boomer (1946-1964),68,4450,9596914.368399983,42308.16762242219,65995.79135697776,18189.14451684406,82056.88434967284,1946,1956,11,2014,2024,19,0.5789473684210527,FALSE,TRUE
Boomer (1946-1964),69,3629,7606268.435599989,38261.54177433247,67032.70542880778,16168.500788852196,77480.97350535184,1946,1955,10,2015,2024,19,0.5263157894736842,FALSE,TRUE
Boomer (1946-1964),70,2663,5584693.496200005,38075.700000000004,66097.14860030443,15964.199230277121,76545.99714742364,1946,1954,9,2016,2024,19,0.47368421052631576,FALSE,TRUE
Gen X (1965-1980),16,20744,31562205.530000053,2973.5605927487845,4566.391076042765,1338.446146226964,5947.121185497569,1965,1980,16,1981,1996,16,1,TRUE,TRUE
Gen X (1965-1980),17,23512,38614845.440000154,4972.940307729403,7556.5116009546155,2279.359352396206,9448.037937057221,1965,1980,16,1982,1997,16,1,TRUE,TRUE
Gen X (1965-1980),18,24710,44179296.849999905,8096.536954342477,11712.932160618271,3797.847510373444,15697.769709543569,1965,1980,16,1983,1998,16,1,TRUE,TRUE
Gen X (1965-1980),19,24939,45456799.03999994,11405.511855047202,15372.651212844165,5235.362853745403,21513.559111440652,1965,1980,16,1984,1999,16,1,TRUE,TRUE
Gen X (1965-1980),20,25761,46599581.71000038,14867.802963743921,18657.53208060949,6649.499659454078,26440.456800878754,1965,1980,16,1985,2000,16,1,TRUE,TRUE
Gen X (1965-1980),21,26278,47434034.79000001,18491.128953928837,22016.32023672497,8480.06258197078,30727.65705948165,1965,1980,16,1986,2001,16,1,TRUE,TRUE
